Algoritmo,Tamanho,Rodada,Tempo(ms),Trocas,Iteracoes
Selection Sort,1000,1,1.629,991,500499
Selection Sort,1000,2,0.572,991,500499
Selection Sort,1000,3,0.957,991,500499
Selection Sort,1000,4,0.948,991,500499
Selection Sort,1000,5,0.218,991,500499
Selection Sort,10000,1,17.614,9993,50004999
Selection Sort,10000,2,17.053,9993,50004999
Selection Sort,10000,3,17.068,9993,50004999
Selection Sort,10000,4,17.158,9993,50004999
Selection Sort,10000,5,17.205,9993,50004999
Selection Sort,100000,1,1653.515,99991,5000049999
Selection Sort,100000,2,1673.273,99991,5000049999
Selection Sort,100000,3,1645.617,99991,5000049999
Selection Sort,100000,4,1666.077,99991,5000049999
Selection Sort,100000,5,1671.812,99991,5000049999
Selection Sort,500000,1,41276.777,499985,125000249999
Selection Sort,500000,2,41703.546,499985,125000249999
Selection Sort,500000,3,41180.015,499985,125000249999
Selection Sort,500000,4,41187.817,499985,125000249999
Selection Sort,500000,5,41809.651,499985,125000249999
Selection Sort,1000000,1,165993.160,999986,500000499999
Selection Sort,1000000,2,165251.188,999986,500000499999
Selection Sort,1000000,3,165459.346,999986,500000499999
Selection Sort,1000000,4,164869.112,999986,500000499999
Selection Sort,1000000,5,164554.079,999986,500000499999
Quick Sort,1000,1,0.248,2392,12852
Quick Sort,1000,2,0.062,2392,12852
Quick Sort,1000,3,0.044,2392,12852
Quick Sort,1000,4,0.038,2392,12852
Quick Sort,1000,5,0.032,2392,12852
Quick Sort,10000,1,0.687,31304,181597
Quick Sort,10000,2,0.468,31304,181597
Quick Sort,10000,3,0.400,31304,181597
Quick Sort,10000,4,0.398,31304,181597
Quick Sort,10000,5,0.403,31304,181597
Quick Sort,100000,1,4.962,394331,2198520
Quick Sort,100000,2,4.907,394331,2198520
Quick Sort,100000,3,4.958,394331,2198520
Quick Sort,100000,4,4.935,394331,2198520
Quick Sort,100000,5,4.872,394331,2198520
Quick Sort,500000,1,27.724,2217013,13154810
Quick Sort,500000,2,27.724,2217013,13154810
Quick Sort,500000,3,27.732,2217013,13154810
Quick Sort,500000,4,27.534,2217013,13154810
Quick Sort,500000,5,27.313,2217013,13154810
Quick Sort,1000000,1,58.567,4701501,26836119
Quick Sort,1000000,2,58.800,4701501,26836119
Quick Sort,1000000,3,58.517,4701501,26836119
Quick Sort,1000000,4,58.706,4701501,26836119
Quick Sort,1000000,5,58.587,4701501,26836119
Heap Sort,1000,1,0.259,9090,10589
Heap Sort,1000,2,0.103,9090,10589
Heap Sort,1000,3,0.099,9090,10589
Heap Sort,1000,4,0.091,9090,10589
Heap Sort,1000,5,0.094,9090,10589
Heap Sort,10000,1,0.797,124152,139151
Heap Sort,10000,2,0.790,124152,139151
Heap Sort,10000,3,0.771,124152,139151
Heap Sort,10000,4,0.706,124152,139151
Heap Sort,10000,5,0.536,124152,139151
Heap Sort,100000,1,7.457,1575126,1725125
Heap Sort,100000,2,7.004,1575126,1725125
Heap Sort,100000,3,6.993,1575126,1725125
Heap Sort,100000,4,7.045,1575126,1725125
Heap Sort,100000,5,6.968,1575126,1725125
Heap Sort,500000,1,42.159,9023203,9773202
Heap Sort,500000,2,42.315,9023203,9773202
Heap Sort,500000,3,41.458,9023203,9773202
Heap Sort,500000,4,42.266,9023203,9773202
Heap Sort,500000,5,42.532,9023203,9773202
Heap Sort,1000000,1,91.188,19047760,20547759
Heap Sort,1000000,2,90.950,19047760,20547759
Heap Sort,1000000,3,91.227,19047760,20547759
Heap Sort,1000000,4,90.879,19047760,20547759
Heap Sort,1000000,5,90.480,19047760,20547759
Counting Sort,1000,1,2.301,1000,1001231
Counting Sort,1000,2,1.121,1000,1001231
Counting Sort,1000,3,1.552,1000,1001231
Counting Sort,1000,4,1.552,1000,1001231
Counting Sort,1000,5,1.593,1000,1001231
Counting Sort,10000,1,1.634,10000,1039587
Counting Sort,10000,2,1.631,10000,1039587
Counting Sort,10000,3,0.698,10000,1039587
Counting Sort,10000,4,0.680,10000,1039587
Counting Sort,10000,5,0.682,10000,1039587
Counting Sort,100000,1,0.859,100000,1399958
Counting Sort,100000,2,0.839,100000,1399958
Counting Sort,100000,3,0.933,100000,1399958
Counting Sort,100000,4,0.878,100000,1399958
Counting Sort,100000,5,0.873,100000,1399958
Counting Sort,500000,1,1.927,500000,2999991
Counting Sort,500000,2,1.919,500000,2999991
Counting Sort,500000,3,1.943,500000,2999991
Counting Sort,500000,4,1.925,500000,2999991
Counting Sort,500000,5,1.897,500000,2999991
Counting Sort,1000000,1,3.384,1000000,4999994
Counting Sort,1000000,2,3.332,1000000,4999994
Counting Sort,1000000,3,3.339,1000000,4999994
Counting Sort,1000000,4,3.348,1000000,4999994
Counting Sort,1000000,5,3.369,1000000,4999994
